,0
0,Институт международных экономических связей
1,Российский новый университет
2,Московский художественно-промышленный институт
3,Московский городской педагогический университет
4,Российский государственный социальный университет
5,Национальный исследовательский университет «МЭИ»
6,Московский технический университет связи и информатики
7,Московский политехнический университет
8,Финансовый университет при Правительстве Российской Федерации
9,Национальный исследовательский технологический университет МИСИС
10,Национальный исследовательский университет «Высшая школа экономики» в Нижнем Новгороде
11,Уфимский государственный нефтяной технический университет
12,Московский государственный университет геодезии и картографии
13,Московский Институт Технологий и Управления
14,Московский Международный Университет
15,Институт отраслевого менеджмента РАНХиГС
16,Московская академия предпринимательства при Правительстве Москвы
17,Московский технологический институт
18,Московский финансово-юридический университет
19,Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянов..
20,Университет Синергия
21,Санкт-Петербургский Гуманитарный университет профсоюзов
